                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1051,                  1.685,                 1.2055,                0.61671,                  0.825,                0.80718,                0.60716,                0.84046,                 2.5561,                 1.0836,                0.00042,                0.00042,                0.00042
                      2,                0.95514,                0.91614,                 1.1046,                0.69818,                0.90833,                0.83007,                0.62616,                0.82491,                 2.2394,                 1.1462,             0.00085574,             0.00085574,             0.00085574
                      3,                 1.0404,                0.96171,                 1.1545,                0.63994,                0.64167,                0.62325,                0.42951,                 1.1594,                 1.7308,                 1.3147,              0.0012871,              0.0012871,              0.0012871
                      4,                 1.0011,                0.99785,                 1.1419,                 0.2448,                    0.4,                0.20718,                0.13049,                 1.9306,                 6.3649,                 2.4074,              0.0017142,              0.0017142,              0.0017142
                      5,                0.98486,                0.88571,                 1.1117,                0.27348,                  0.225,                0.15194,                0.07496,                 3.0334,                 5.0638,                 3.4341,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.0309,                0.85473,                 1.1372,                 0.7983,                0.80833,                0.86974,                 0.6292,                 1.0126,                 1.2235,                 1.2022,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.0165,                0.87914,                 1.1503,                0.60918,                  0.675,                0.66051,                0.42951,                 1.1378,                 1.7156,                 1.2861,              0.0019505,              0.0019505,              0.0019505
                      8,                0.97911,                0.83888,                 1.1326,                0.78018,                0.86667,                0.87439,                0.65374,                0.89611,                0.95308,                 1.1839,              0.0019406,              0.0019406,              0.0019406
                      9,                0.98731,                0.88577,                 1.1491,                0.78394,                0.84663,                0.81233,                0.55869,                 1.0272,                0.96352,                 1.2493,              0.0019307,              0.0019307,              0.0019307
                     10,                 0.9843,                 0.8235,                 1.1275,                0.68104,                0.87188,                0.76869,                0.56308,                0.94805,                 1.1736,                 1.1927,              0.0019208,              0.0019208,              0.0019208
                     11,                0.95609,                0.85142,                 1.1097,                0.80096,                0.86667,                0.87945,                0.65152,                0.92195,                 1.0193,                 1.1761,              0.0019109,              0.0019109,              0.0019109
                     12,                 0.9441,                0.82821,                 1.1027,                0.72324,                  0.775,                 0.8278,                0.59855,                0.96207,                0.94974,                 1.1676,               0.001901,               0.001901,               0.001901
                     13,                0.92212,                0.82611,                  1.107,                 0.8007,                0.90396,                0.88283,                0.65899,                0.87426,                0.89106,                 1.1085,              0.0018911,              0.0018911,              0.0018911
                     14,                0.93476,                0.78131,                  1.101,                0.72958,                  0.875,                0.86845,                0.65687,                0.87152,                0.74066,                 1.1242,              0.0018812,              0.0018812,              0.0018812
                     15,                0.92694,                0.78487,                 1.0941,                0.73877,                0.85833,                0.83722,                0.62281,                0.87503,                0.80948,                 1.1165,              0.0018713,              0.0018713,              0.0018713
                     16,                0.94059,                0.78014,                 1.1032,                0.80966,                0.88623,                0.84152,                0.62443,                 0.9133,                0.89342,                 1.1277,              0.0018614,              0.0018614,              0.0018614
                     17,                0.91397,                0.77051,                 1.0927,                0.77767,                0.96667,                0.90057,                0.68007,                0.85441,                0.73654,                 1.1268,              0.0018515,              0.0018515,              0.0018515
                     18,                0.84747,                0.71769,                 1.0759,                0.75257,                    0.9,                0.84955,                0.64669,                0.86047,                 1.1231,                 1.1151,              0.0018416,              0.0018416,              0.0018416
                     19,                0.92477,                0.76283,                 1.0772,                0.75653,                    0.9,                0.87039,                0.64983,                0.88062,                0.79999,                 1.1407,              0.0018317,              0.0018317,              0.0018317
